"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon","WKT"
"39F5","NS-IBTS","27.4.b",1,2017,7,7,1,5.5,55.25,"POLYGON ((5.00000000000006 54.9999999999001,5.00000000000006 55.4999999998002,5.9999999998002 55.4999999998002,5.9999999998002 54.9999999999001,5.00000000000006 54.9999999999001))"
"39F6","NS-IBTS","27.4.b",1,2017,8,6,1.33333333333333,6.5,55.25,"POLYGON ((5.9999999998002 54.9999999999001,5.9999999998002 55.4999999998002,6.99999999960033 55.4999999998002,6.99999999960033 54.9999999999001,5.9999999998002 54.9999999999001))"
"39F7","NS-IBTS","27.4.b",1,2017,6,6,1,7.5,55.25,"POLYGON ((6.99999999960033 54.9999999999001,6.99999999960033 55.4999999998002,8.00000000029985 55.4999999998002,8.00000000029985 54.9999999999001,6.99999999960033 54.9999999999001))"
"39F8","NS-IBTS","27.4.b",1,2017,2,5,0.4,8.5,55.25,"POLYGON ((8.00000000029985 54.9999999999001,8.00000000029985 55.4999999998002,9.00000000009999 55.4999999998002,9.00000000009999 54.9999999999001,8.00000000029985 54.9999999999001))"
"40E8","NS-IBTS","27.4.b",1,2017,9,14,0.642857142857143,-1.5,55.75,"POLYGON ((-2.00000000039967 55.4999999998002,-2.00000000039967 55.9999999997003,-0.999999999700151 55.9999999997003,-0.999999999700151 55.4999999998002,-2.00000000039967 55.4999999998002))"
"40E9","NS-IBTS","27.4.b",1,2017,11,10,1.1,-0.5,55.75,"POLYGON ((-0.999999999700151 55.4999999998002,-0.999999999700151 55.9999999997003,0.000000000099988 55.9999999997003,0.000000000099988 55.4999999998002,-0.999999999700151 55.4999999998002))"
"40F0","NS-IBTS","27.4.b",1,2017,8,10,0.8,0.5,55.75,"POLYGON ((0.000000000099988 55.4999999998002,0.000000000099988 55.9999999997003,0.999999999900126 55.9999999997003,0.999999999900126 55.4999999998002,0.000000000099988 55.4999999998002))"
"40F1","NS-IBTS","27.4.b",1,2017,7,12,0.583333333333333,1.5,55.75,"POLYGON ((0.999999999900126 55.4999999998002,0.999999999900126 55.9999999997003,1.99999999970026 55.9999999997003,1.99999999970026 55.4999999998002,0.999999999900126 55.4999999998002))"
"40F2","NS-IBTS","27.4.b",1,2017,8,10,0.8,2.5,55.75,"POLYGON ((1.99999999970026 55.4999999998002,1.99999999970026 55.9999999997003,3.00000000039972 55.9999999997003,3.00000000039972 55.4999999998002,1.99999999970026 55.4999999998002))"
"40F3","NS-IBTS","27.4.b",1,2017,7,9,0.777777777777778,3.5,55.75,"POLYGON ((3.00000000039972 55.4999999998002,3.00000000039972 55.9999999997003,4.00000000019992 55.9999999997003,4.00000000019992 55.4999999998002,3.00000000039972 55.4999999998002))"
"40F4","NS-IBTS","27.4.b",1,2017,5,8,0.625,4.5,55.75,"POLYGON ((4.00000000019992 55.4999999998002,4.00000000019992 55.9999999997003,5.00000000000006 55.9999999997003,5.00000000000006 55.4999999998002,4.00000000019992 55.4999999998002))"
"40F5","NS-IBTS","27.4.b",1,2017,8,10,0.8,5.5,55.75,"POLYGON ((5.00000000000006 55.4999999998002,5.00000000000006 55.9999999997003,5.9999999998002 55.9999999997003,5.9999999998002 55.4999999998002,5.00000000000006 55.4999999998002))"
"40F6","NS-IBTS","27.4.b",1,2017,9,5,1.8,6.5,55.75,"POLYGON ((5.9999999998002 55.4999999998002,5.9999999998002 55.9999999997003,6.99999999960033 55.9999999997003,6.99999999960033 55.4999999998002,5.9999999998002 55.4999999998002))"
"40F7","NS-IBTS","27.4.b",1,2017,4,5,0.8,7.5,55.75,"POLYGON ((6.99999999960033 55.4999999998002,6.99999999960033 55.9999999997003,8.00000000029985 55.9999999997003,8.00000000029985 55.4999999998002,6.99999999960033 55.4999999998002))"
"41E7","NS-IBTS","27.4.b",1,2017,10,14,0.714285714285714,-2.5,56.25,"POLYGON ((-3.0000000001998 55.9999999997003,-3.0000000001998 56.4999999996003,-2.00000000039967 56.4999999996003,-2.00000000039967 55.9999999997003,-3.0000000001998 55.9999999997003))"
"41E8","NS-IBTS","27.4.b",1,2017,11,12,0.916666666666667,-1.5,56.25,"POLYGON ((-2.00000000039967 55.9999999997003,-2.00000000039967 56.4999999996003,-0.999999999700151 56.4999999996003,-0.999999999700151 55.9999999997003,-2.00000000039967 55.9999999997003))"
"41E9","NS-IBTS","27.4.b",1,2017,13,10,1.3,-0.5,56.25,"POLYGON ((-0.999999999700151 55.9999999997003,-0.999999999700151 56.4999999996003,0.000000000099988 56.4999999996003,0.000000000099988 55.9999999997003,-0.999999999700151 55.9999999997003))"
"41F0","NS-IBTS","27.4.b",1,2017,8,10,0.8,0.5,56.25,"POLYGON ((0.000000000099988 55.9999999997003,0.000000000099988 56.4999999996003,0.999999999900126 56.4999999996003,0.999999999900126 55.9999999997003,0.000000000099988 55.9999999997003))"
"41F1","NS-IBTS","27.4.b",1,2017,9,10,0.9,1.5,56.25,"POLYGON ((0.999999999900126 55.9999999997003,0.999999999900126 56.4999999996003,1.99999999970026 56.4999999996003,1.99999999970026 55.9999999997003,0.999999999900126 55.9999999997003))"
"41F2","NS-IBTS","27.4.b",1,2017,5,10,0.5,2.5,56.25,"POLYGON ((1.99999999970026 55.9999999997003,1.99999999970026 56.4999999996003,3.00000000039972 56.4999999996003,3.00000000039972 55.9999999997003,1.99999999970026 55.9999999997003))"
"41F3","NS-IBTS","27.4.b",1,2017,3,9,0.333333333333333,3.5,56.25,"POLYGON ((3.00000000039972 55.9999999997003,3.00000000039972 56.4999999996003,4.00000000019992 56.4999999996003,4.00000000019992 55.9999999997003,3.00000000039972 55.9999999997003))"
"41F4","NS-IBTS","27.4.b",1,2017,9,12,0.75,4.5,56.25,"POLYGON ((4.00000000019992 55.9999999997003,4.00000000019992 56.4999999996003,5.00000000000006 56.4999999996003,5.00000000000006 55.9999999997003,4.00000000019992 55.9999999997003))"
"41F5","NS-IBTS","27.4.b",1,2017,9,10,0.9,5.5,56.25,"POLYGON ((5.00000000000006 55.9999999997003,5.00000000000006 56.4999999996003,5.9999999998002 56.4999999996003,5.9999999998002 55.9999999997003,5.00000000000006 55.9999999997003))"
"41F6","NS-IBTS","27.4.b",1,2017,11,8,1.375,6.5,56.25,"POLYGON ((5.9999999998002 55.9999999997003,5.9999999998002 56.4999999996003,6.99999999960033 56.4999999996003,6.99999999960033 55.9999999997003,5.9999999998002 55.9999999997003))"
"41F7","NS-IBTS","27.4.b",1,2017,7,6,1.16666666666667,7.5,56.25,"POLYGON ((6.99999999960033 55.9999999997003,6.99999999960033 56.4999999996003,8.00000000029985 56.4999999996003,8.00000000029985 55.9999999997003,6.99999999960033 55.9999999997003))"
"41G1","NS-IBTS","27.3.a",1,2017,14,10,1.4,11.5,56.25,"POLYGON ((10.9999999997003 55.9999999997003,10.9999999997003 56.4999999996003,12.0000000003997 56.4999999996003,12.0000000003997 55.9999999997003,10.9999999997003 55.9999999997003))"
"41G2","NS-IBTS","27.3.a",1,2017,13,8,1.625,12.5,56.25,"POLYGON ((12.0000000003997 55.9999999997003,12.0000000003997 56.4999999996003,13.0000000001999 56.4999999996003,13.0000000001999 55.9999999997003,12.0000000003997 55.9999999997003))"
"42E7","NS-IBTS","27.4.b",1,2017,6,11,0.545454545454545,-2.5,56.75,"POLYGON ((-3.0000000001998 56.4999999996003,-3.0000000001998 57.0000000003998,-2.00000000039967 57.0000000003998,-2.00000000039967 56.4999999996003,-3.0000000001998 56.4999999996003))"
"42E8","NS-IBTS","27.4.b",1,2017,10,10,1,-1.5,56.75,"POLYGON ((-2.00000000039967 56.4999999996003,-2.00000000039967 57.0000000003998,-0.999999999700151 57.0000000003998,-0.999999999700151 56.4999999996003,-2.00000000039967 56.4999999996003))"
"42E9","NS-IBTS","27.4.b",1,2017,11,10,1.1,-0.5,56.75,"POLYGON ((-0.999999999700151 56.4999999996003,-0.999999999700151 57.0000000003998,0.000000000099988 57.0000000003998,0.000000000099988 56.4999999996003,-0.999999999700151 56.4999999996003))"
"42F0","NS-IBTS","27.4.b",1,2017,13,11,1.18181818181818,0.5,56.75,"POLYGON ((0.000000000099988 56.4999999996003,0.000000000099988 57.0000000003998,0.999999999900126 57.0000000003998,0.999999999900126 56.4999999996003,0.000000000099988 56.4999999996003))"
"42F1","NS-IBTS","27.4.b",1,2017,6,9,0.666666666666667,1.5,56.75,"POLYGON ((0.999999999900126 56.4999999996003,0.999999999900126 57.0000000003998,1.99999999970026 57.0000000003998,1.99999999970026 56.4999999996003,0.999999999900126 56.4999999996003))"
"42F2","NS-IBTS","27.4.b",1,2017,3,9,0.333333333333333,2.5,56.75,"POLYGON ((1.99999999970026 56.4999999996003,1.99999999970026 57.0000000003998,3.00000000039972 57.0000000003998,3.00000000039972 56.4999999996003,1.99999999970026 56.4999999996003))"
"42F3","NS-IBTS","27.4.b",1,2017,3,12,0.25,3.5,56.75,"POLYGON ((3.00000000039972 56.4999999996003,3.00000000039972 57.0000000003998,4.00000000019992 57.0000000003998,4.00000000019992 56.4999999996003,3.00000000039972 56.4999999996003))"
"42F4","NS-IBTS","27.4.b",1,2017,6,9,0.666666666666667,4.5,56.75,"POLYGON ((4.00000000019992 56.4999999996003,4.00000000019992 57.0000000003998,5.00000000000006 57.0000000003998,5.00000000000006 56.4999999996003,4.00000000019992 56.4999999996003))"
"42F5","NS-IBTS","27.4.b",1,2017,5,10,0.5,5.5,56.75,"POLYGON ((5.00000000000006 56.4999999996003,5.00000000000006 57.0000000003998,5.9999999998002 57.0000000003998,5.9999999998002 56.4999999996003,5.00000000000006 56.4999999996003))"
